Data Sample,Implicit Meaning,Explicit Meaning,Category,Hallucination Types,Idiom Phrases,Meaning of Idiom Phrases
,,,বাগধারা,,,
" যেই আমি বিপদে পড়লাম, অমনি তোমরা সবাই ডুব মারলে।",,,বাগধারা,,ডুব মারা ,পালিয়ে যাওয়া
 তুমি দেখি একেবারে ডুমুরের ফুল হয়ে গেছ।,,,বাগধারা,,ডুমুরের ফুল ,অদৃশ্য বস্তু
 বাইরে সে ভাল মানুষ; আসলে কিন্তু ডুবে ডুবে জল খাওয়াতে সে ওস্তাদ।,,,বাগধারা,,ডুবে ডুবে জল খাওয়া ,গোপনে কাজ করা
"যুদ্ধের ডামাডোলে অনেকেই বাড়িঘর করে নিয়েছে।
",,,বাগধারা,,ডামাডোল ,গোলযোগ
তার ঢাকঢাক গুড়গুড় স্বভাব কিন্তু আমি পছন্দ করি না।,,,বাগধারা,, ঢাকঢাক গুড়গুড়, লুকোচুরি
 বড় লোকের ঢাকের কাঠির অভাব নেই আজকাল।,,,বাগধারা,,ঢাকের কাঠি ,তোষামুদে
মেটেয়ার চরিত্রহীতনায় সর্বত্র টি টি পড়ে গেল।,,,বাগধারা,, টি টি পড়া  ,কলঙ্ক
 এমন টিমে তেতালায় এগুলে আরো দুবছরে কাজ শেষ করতে পারবে না।,,,বাগধারা,,টিমে তেতালা ,"মন্থর গতি, কুঁড়ে"
এমন তালকানা লোকের সাথে চলা যায় না।,,,বাগধারা,,তালকানা ,কাণ্ডজ্ঞানহীন
"তালপাতার সেপাই (ছিপছিপে): শরীরের প্রতি যত্ন নাও, দিন দিন তুমি তো তালপাতার সেপাই হয়ে যাচ্ছ।",,,বাগধারা,,তালপাতার সেপাই , ছিপছিপে
সাধুর তম দেখালেও লোটকা আসলে তুলসী বনের বাঘ।,,,বাগধারা,, তুলসী বনের বাঘ ,ভন্ড
 বাবার চাকরি যাওয়ায় মায়ের সব স্বপ্ন তাসের ঘরের মতো ভেঙে গেল।,,,বাগধারা,,তাসের ঘর ,স্বল্পস্থায়ী
পুত্রশোকে বিধবার বুকে তুষের আগুন জ্বলছে।,,,বাগধারা,,তুষের আগুন ,নিরন্তর দহনকারী
ওর মতো তালকানা ছেলে নিয়েও বাবা-মায়ের তক গর্ব।,,,বাগধারা,,তালকানা ,কান্ডজ্ঞানহীন
 তিলকে তাল করা ওর অভ্যাসে পরিণত হয়েছে।,,,বাগধারা,,তিলকে তাল করা, ছোটোকে বড়ো করা
শরণার্থীরা রিলিফের চালের জন্য তীর্থের কাকের মতো বসে আছে। ,,,বাগধারা,,তীর্থের কাক, সুযোগ সন্ধানী
সাহেবকে তেল মাখানোর লোকের অভাব নেই।,,,বাগধারা,,তেল মাখানো , তোশামোদ
ক্লাসে হঠাৎ নতুন শিক্ষক দেখে সবাই থতমত খেয়ে গেলাম। ,,,বাগধারা,,থতমত খাওয়া ,(অপ্রস্তুত হয়ে পড়া)
বাপ-চাচাদের দা-কুমড়া সম্পর্ক এখন চাচাতো ভাইদের মধ্যে টিকে আছে।,,,বাগধারা,,দা-কুমড়া সম্পর্ক, শত্রুতা
বড় বাবুর সাথে তার খুব দহরম মহরম।,,,বাগধারা,,দহরম মহরম ,ঘনিষ্ঠতা
হঠাৎ লবণের দাম বেড়ে যাওয়াতে ব্যাপারীরা এক দাঁও মেরেছে।,,,বাগধারা,,দাঁও মারা, মোটা লাভ করা
দিবাস্বপ্ন দেখতে ভালোবাসে না এমন লোক মেলা ভার।,,,বাগধারা,,দিবাস্বপ্ন ,অলীক কল্পনা
সুযোগসন্ধানীরা সব সময়ে দুধের মাছির মতো ক্ষমতার আশপাশে ঘোরে।,,,বাগধারা,,দুধের মাছি ,সুসময়ের বন্ধু
বড় লোকের ধামাধরার অভাব হয় না।,,,বাগধারা,,ধামাধরা ,তোষামুদে
 তুমি ধরাকে সরা জ্ঞান করে সাধারণ মানুষের সঙ্গে দুর্ব্যবহার করছ!,,,বাগধারা,,ধরাকে সরা জ্ঞান, অহংকার করা
